local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
Colo Colo,8.0,3.0,3.0,38.0,25.0,2.0,0.0,2.0,0.0,0.0,Universidad de Concepción,6.0,1.0,7.0,61.0,19.0,5.0,1.0,1.0,0.0,0.0,595035,2021-02-17 21:00:00,2021
Curicó Unido,13.0,6.0,4.0,41.1,16.0,2.0,0.0,2.0,4.0,2.0,Melipilla,14.0,4.0,6.0,58.9,6.0,1.0,0.0,1.0,4.0,3.0,597181,2021-03-27 14:00:00,2021
Everton CD,13.0,5.0,6.0,53.8,12.0,1.0,0.0,0.0,3.0,2.0,O'Higgins,6.0,4.0,2.0,46.2,9.0,1.0,0.0,2.0,4.0,2.0,597182,2021-03-27 19:00:00,2021
Colo Colo,11.0,2.0,4.0,57.6,13.0,1.0,0.0,0.0,2.0,4.0,Unión La Calera,12.0,2.0,3.0,42.4,8.0,1.0,1.0,0.0,2.0,4.0,597184,2021-03-27 21:30:00,2021
Unión Española,16.0,4.0,3.0,40.9,6.0,2.0,0.0,3.0,2.0,4.0,Santiago Wanderers,9.0,3.0,3.0,59.1,14.0,0.0,0.0,3.0,1.0,1.0,597185,2021-03-28 00:00:00,2021
Palestino,13.0,4.0,7.0,57.8,10.0,3.0,0.0,1.0,3.0,1.0,Antofagasta,11.0,7.0,3.0,42.2,12.0,3.0,0.0,0.0,2.0,1.0,597178,2021-03-28 13:45:00,2021
Huachipato,11.0,2.0,2.0,49.7,12.0,1.0,1.0,1.0,2.0,2.0,Cobresal,11.0,2.0,2.0,50.3,11.0,1.0,0.0,5.0,2.0,4.0,597179,2021-03-28 20:00:00,2021
Ñublense,14.0,4.0,3.0,51.4,12.0,1.0,0.0,0.0,1.0,5.0,Universidad Católica,8.0,1.0,4.0,48.6,10.0,1.0,0.0,4.0,4.0,0.0,597183,2021-03-28 22:30:00,2021
Audax Italiano,15.0,7.0,9.0,43.1,14.0,2.0,0.0,1.0,1.0,1.0,La Serena,6.0,2.0,4.0,56.9,14.0,2.0,0.0,2.0,5.0,1.0,597180,2021-03-30 23:00:00,2021
Antofagasta,20.0,5.0,7.0,58.8,15.0,2.0,0.0,3.0,3.0,6.0,Everton CD,12.0,5.0,5.0,41.2,16.0,1.0,0.0,2.0,4.0,1.0,597173,2021-04-02 19:00:00,2021
Unión La Calera,11.0,7.0,4.0,46.3,15.0,2.0,0.0,3.0,3.0,1.0,Unión Española,13.0,3.0,5.0,53.7,10.0,2.0,1.0,0.0,6.0,2.0,597176,2021-04-02 22:00:00,2021
Melipilla,16.0,4.0,4.0,40.0,14.0,2.0,0.0,1.0,4.0,6.0,Ñublense,23.0,5.0,10.0,60.0,10.0,3.0,1.0,1.0,3.0,7.0,597177,2021-04-03 14:00:00,2021
Universidad de Chile,6.0,2.0,3.0,52.6,10.0,2.0,0.0,2.0,1.0,0.0,Huachipato,9.0,2.0,5.0,47.4,20.0,2.0,0.0,2.0,1.0,2.0,597174,2021-04-03 21:00:00,2021
Cobresal,15.0,5.0,4.0,56.0,15.0,3.0,0.0,2.0,2.0,4.0,Colo Colo,11.0,4.0,2.0,44.0,17.0,3.0,0.0,1.0,4.0,1.0,597171,2021-04-03 23:30:00,2021
