local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
Independiente,12.0,6.0,7.0,47.8,12.0,3.0,0.0,3.0,1.0,2.0,Argentinos Juniors,8.0,1.0,0.0,52.2,16.0,3.0,0.0,1.0,6.0,1.0,610243,2021-07-18 20:15:00,2021
Central Córdoba (Santiago del Estero),17.0,6.0,2.0,41.9,21.0,3.0,0.0,1.0,2.0,2.0,Banfield,5.0,3.0,3.0,58.1,13.0,0.0,0.0,2.0,5.0,1.0,610245,2021-07-19 18:00:00,2021
Godoy Cruz Antonio Tomba,21.0,9.0,6.0,57.3,18.0,3.0,0.0,2.0,3.0,4.0,Rosario Central,8.0,4.0,4.0,42.7,13.0,1.0,1.0,1.0,7.0,1.0,610253,2021-07-19 20:15:00,2021
Atlético Tucumán,12.0,3.0,3.0,42.8,17.0,2.0,1.0,2.0,3.0,1.0,Huracán,9.0,3.0,3.0,57.2,15.0,3.0,0.0,1.0,2.0,2.0,610237,2021-07-23 19:00:00,2021
Platense,15.0,5.0,7.0,37.7,13.0,1.0,0.0,2.0,2.0,5.0,Aldosivi,7.0,3.0,2.0,62.3,13.0,1.0,0.0,2.0,5.0,2.0,610230,2021-07-23 21:15:00,2021
Colón (Santa Fe),11.0,3.0,6.0,61.7,15.0,1.0,1.0,5.0,3.0,3.0,Lanús,12.0,6.0,4.0,38.3,17.0,2.0,0.0,3.0,2.0,3.0,610238,2021-07-24 13:30:00,2021
San Lorenzo,8.0,2.0,3.0,48.9,18.0,3.0,0.0,3.0,2.0,4.0,Central Córdoba (Santiago del Estero),13.0,2.0,5.0,51.1,14.0,2.0,1.0,6.0,1.0,3.0,610234,2021-07-24 15:45:00,2021
Racing Club,8.0,0.0,8.0,64.2,19.0,3.0,0.0,0.0,0.0,6.0,Gimnasia La Plata,6.0,0.0,1.0,35.8,17.0,2.0,0.0,1.0,0.0,1.0,610235,2021-07-24 18:00:00,2021
Banfield,10.0,2.0,3.0,54.3,17.0,1.0,0.0,1.0,1.0,1.0,Boca Juniors,11.0,1.0,5.0,45.7,15.0,3.0,0.0,1.0,2.0,5.0,610232,2021-07-24 20:15:00,2021
Defensa y Justicia,9.0,2.0,4.0,52.5,22.0,2.0,0.0,0.0,2.0,0.0,Godoy Cruz Antonio Tomba,14.0,4.0,5.0,47.5,14.0,1.0,0.0,6.0,1.0,2.0,610236,2021-07-25 13:30:00,2021
Patronato,12.0,3.0,1.0,38.1,14.0,4.0,0.0,2.0,4.0,5.0,Sarmiento (Junín),12.0,4.0,4.0,61.9,12.0,2.0,0.0,2.0,1.0,2.0,610240,2021-07-25 13:30:00,2021
Rosario Central,16.0,7.0,13.0,54.2,13.0,4.0,0.0,3.0,5.0,6.0,Vélez Sarsfield,8.0,5.0,5.0,45.8,15.0,1.0,1.0,1.0,6.0,1.0,610242,2021-07-25 15:45:00,2021
River Plate,15.0,5.0,11.0,74.6,15.0,1.0,0.0,3.0,0.0,3.0,Unión (Santa Fe),5.0,0.0,7.0,25.4,19.0,1.0,0.0,2.0,1.0,1.0,610241,2021-07-25 18:00:00,2021
Estudiantes de La Plata,19.0,4.0,7.0,50.8,15.0,0.0,0.0,0.0,3.0,4.0,Independiente,7.0,4.0,2.0,49.2,8.0,0.0,0.0,3.0,4.0,2.0,610233,2021-07-25 20:15:00,2021
Talleres (Córdoba),15.0,3.0,6.0,58.0,14.0,2.0,0.0,4.0,1.0,6.0,Arsenal Sarandi,7.0,1.0,6.0,42.0,5.0,1.0,0.0,2.0,1.0,3.0,610231,2021-07-26 18:00:00,2021
Argentinos Juniors,13.0,4.0,10.0,73.5,13.0,2.0,0.0,3.0,3.0,2.0,Newell's Old Boys,7.0,3.0,3.0,26.5,20.0,1.0,1.0,4.0,3.0,2.0,610239,2021-07-26 20:15:00,2021
Huracán,13.0,4.0,3.0,53.0,20.0,2.0,0.0,2.0,2.0,4.0,Colón (Santa Fe),7.0,3.0,1.0,47.0,15.0,2.0,0.0,5.0,3.0,1.0,610220,2021-07-27 16:30:00,2021
Aldosivi,16.0,5.0,4.0,48.5,8.0,0.0,0.0,3.0,0.0,7.0,Racing Club,20.0,2.0,7.0,51.5,14.0,1.0,0.0,2.0,5.0,8.0,610225,2021-07-27 18:45:00,2021
Boca Juniors,12.0,0.0,2.0,59.1,14.0,1.0,0.0,2.0,0.0,4.0,San Lorenzo,7.0,2.0,2.0,40.9,24.0,4.0,0.0,0.0,0.0,1.0,610228,2021-07-27 21:00:00,2021
Godoy Cruz Antonio Tomba,9.0,2.0,6.0,55.3,15.0,3.0,0.0,0.0,3.0,3.0,Atlético Tucumán,15.0,6.0,5.0,44.7,19.0,3.0,0.0,3.0,2.0,4.0,610218,2021-07-28 14:15:00,2021
Unión (Santa Fe),13.0,2.0,3.0,45.5,11.0,2.0,1.0,1.0,6.0,5.0,Banfield,24.0,7.0,10.0,54.5,15.0,4.0,0.0,4.0,2.0,6.0,610219,2021-07-28 14:15:00,2021
Sarmiento (Junín),19.0,3.0,12.0,61.5,11.0,0.0,0.0,1.0,0.0,9.0,Platense,8.0,0.0,6.0,38.5,16.0,2.0,1.0,3.0,2.0,3.0,610224,2021-07-28 16:30:00,2021
