local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Querétaro,14.0,2.0,0.0,1.0,6.0,1.0,46.0,8.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,8.0,2.0,0.0,2.0,14.0,0.0,53.0,13.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591011,2021-01-18 03:06:00,2021
América,11.0,1.0,0.0,1.0,5.0,6.0,54.0,17.0,5.0,0.3,0.0,0.0,348.0,425.0,0.8,5.0,18.0,0.3,60.0,33.0,0.6,5.0,11.0,14.0,0.8,17.0,14.0,14.0,Atlético de San Luis,14.0,2.0,0.0,0.0,5.0,3.0,46.0,14.0,7.0,0.5,0.0,0.0,268.0,355.0,0.8,7.0,24.0,0.3,58.0,24.0,0.4,2.0,16.0,23.0,0.7,15.0,9.0,9.0,591022,2021-01-10 03:00:00,2021
Atlas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tigres UANL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591005,2021-01-24 01:00:00,2021
Mazatlán FC,18.0,2.0,0.0,0.0,1.0,2.0,46.9,5.0,2.0,0.4,0.0,0.0,284.0,379.0,0.7,1.0,11.0,0.1,62.0,26.0,0.4,0.0,8.0,11.0,0.7,21.0,19.0,19.0,Santos,16.0,1.0,0.0,4.0,7.0,2.0,53.1,18.0,2.0,0.1,0.0,0.0,319.0,415.0,0.8,7.0,28.0,0.3,56.0,25.0,0.4,10.0,7.0,11.0,0.6,13.0,9.0,9.0,591007,2021-01-23 03:30:00,2021
Tigres UANL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Necaxa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590996,2021-01-29 03:00:00,2021
Atlético de San Luis,20.0,4.0,0.0,1.0,6.0,0.0,40.0,13.0,6.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guadalajara,14.0,3.0,0.0,3.0,12.0,0.0,60.0,10.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591009,2021-01-22 03:00:00,2021
América,16.0,0.0,0.0,1.0,6.0,1.0,44.8,10.0,4.0,0.4,0.0,0.0,320.0,391.0,0.8,2.0,10.0,0.2,59.0,24.0,0.4,2.0,6.0,18.0,0.3,12.0,16.0,16.0,FC Juarez,7.0,2.0,0.0,4.0,3.0,2.0,55.2,9.0,1.0,0.1,0.0,0.0,409.0,480.0,0.9,4.0,17.0,0.2,56.0,29.0,0.5,5.0,4.0,11.0,0.4,13.0,6.0,6.0,591004,2021-01-27 02:30:00,2021
Cruz Azul,19.0,0.0,0.0,1.0,17.0,0.0,54.0,18.0,7.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Querétaro,9.0,2.0,0.0,0.0,1.0,0.0,45.0,4.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590997,2021-01-31 03:00:00,2021
Tijuana,25.0,3.0,0.0,0.0,5.0,2.0,54.6,15.0,6.0,0.4,0.0,0.0,284.0,353.0,0.8,3.0,16.0,0.2,41.0,19.0,0.5,2.0,14.0,16.0,0.9,13.0,17.0,17.0,Toluca,19.0,3.0,0.0,2.0,2.0,3.0,45.4,8.0,4.0,0.5,0.0,0.0,202.0,286.0,0.7,4.0,20.0,0.2,57.0,25.0,0.4,1.0,7.0,19.0,0.4,10.0,10.0,10.0,590995,2021-01-31 03:06:00,2021
Monterrey,18.0,1.0,0.0,5.0,8.0,0.0,63.0,15.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumas UNAM,12.0,0.0,1.0,2.0,4.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590985,2021-02-07 03:06:00,2021
Pumas UNAM,10.0,2.0,0.0,0.0,4.0,2.0,54.7,5.0,0.0,0.0,0.0,0.0,261.0,350.0,0.7,4.0,15.0,0.3,61.0,23.0,0.4,0.0,8.0,14.0,0.6,9.0,19.0,19.0,Atlas,13.0,2.0,0.0,4.0,6.0,0.0,45.3,9.0,2.0,0.2,0.0,0.0,192.0,289.0,0.7,5.0,17.0,0.3,69.0,28.0,0.4,2.0,17.0,22.0,0.8,19.0,14.0,14.0,590994,2021-01-31 18:00:00,2021
Puebla,13.0,1.0,0.0,5.0,2.0,5.0,49.3,9.0,3.0,0.3,0.0,0.0,317.0,386.0,0.8,1.0,6.0,0.2,68.0,30.0,0.4,2.0,5.0,8.0,0.6,5.0,17.0,17.0,Monterrey,12.0,1.0,0.0,0.0,8.0,3.0,50.7,16.0,5.0,0.3,0.0,0.0,309.0,380.0,0.8,7.0,25.0,0.3,56.0,30.0,0.5,5.0,10.0,12.0,0.8,12.0,5.0,5.0,591000,2021-02-03 03:00:00,2021
Guadalajara,7.0,0.0,0.0,3.0,13.0,3.0,69.4,12.0,1.0,0.1,0.0,0.0,443.0,504.0,0.9,6.0,35.0,0.2,56.0,36.0,0.6,2.0,8.0,12.0,0.7,10.0,6.0,6.0,FC Juarez,16.0,4.0,0.0,0.0,2.0,0.0,30.6,6.0,5.0,0.8,0.0,0.0,163.0,229.0,0.7,1.0,10.0,0.1,47.0,15.0,0.3,0.0,8.0,14.0,0.6,5.0,28.0,28.0,590998,2021-01-31 01:00:00,2021
Mazatlán FC,13.0,3.0,0.0,2.0,8.0,5.0,43.2,11.0,6.0,0.5,0.0,0.0,250.0,339.0,0.7,3.0,17.0,0.2,51.0,18.0,0.4,2.0,9.0,11.0,0.8,19.0,36.0,36.0,Pachuca,11.0,3.0,0.0,5.0,5.0,5.0,56.8,20.0,4.0,0.2,0.0,0.0,352.0,440.0,0.8,6.0,29.0,0.2,55.0,34.0,0.6,8.0,7.0,14.0,0.5,11.0,21.0,21.0,590999,2021-01-30 03:30:00,2021
Santos,19.0,1.0,0.0,0.0,3.0,3.0,47.6,12.0,4.0,0.3,0.0,0.0,169.0,248.0,0.7,3.0,21.0,0.1,55.0,18.0,0.3,2.0,12.0,19.0,0.6,15.0,13.0,13.0,América,13.0,2.0,0.0,0.0,8.0,3.0,52.4,13.0,4.0,0.3,0.0,0.0,173.0,274.0,0.6,5.0,24.0,0.2,72.0,25.0,0.3,5.0,12.0,24.0,0.5,9.0,25.0,25.0,590993,2021-02-01 01:06:00,2021
Atlas,16.0,3.0,0.0,0.0,11.0,0.0,56.0,23.0,9.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santos,18.0,3.0,0.0,0.0,9.0,0.0,43.0,9.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590987,2021-02-06 23:00:00,2021
León,11.0,3.0,1.0,0.0,10.0,0.0,60.0,17.0,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guadalajara,19.0,2.0,0.0,1.0,3.0,0.0,39.0,13.0,9.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590983,2021-02-09 03:00:00,2021
Querétaro,14.0,1.0,0.0,0.0,8.0,0.0,35.0,11.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pachuca,12.0,0.0,0.0,2.0,23.0,0.0,64.0,22.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590990,2021-02-05 03:00:00,2021
Necaxa,13.0,1.0,0.0,3.0,10.0,0.0,54.0,14.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruz Azul,22.0,1.0,0.0,0.0,4.0,0.0,45.0,16.0,4.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590989,2021-02-06 03:30:00,2021
Guadalajara,10.0,0.0,0.0,0.0,14.0,0.0,66.0,16.0,7.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Necaxa,8.0,3.0,0.0,2.0,0.0,0.0,33.0,10.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590979,2021-02-14 01:00:00,2021
Santos,13.0,1.0,0.0,4.0,10.0,0.0,47.0,8.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monterrey,14.0,3.0,0.0,0.0,13.0,0.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590975,2021-02-15 01:06:00,2021
América,17.0,1.0,0.0,0.0,12.0,0.0,73.0,24.0,8.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Querétaro,11.0,1.0,1.0,0.0,9.0,0.0,26.0,8.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590978,2021-02-14 03:00:00,2021
América,13.0,0.0,0.0,2.0,3.0,0.0,52.0,6.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Puebla,22.0,2.0,1.0,1.0,2.0,0.0,47.0,9.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590986,2021-02-07 01:00:00,2021
León,10.0,3.0,0.0,0.0,4.0,0.0,71.4,15.0,9.0,0.6,0.0,0.0,457.0,525.0,0.9,6.0,16.0,0.4,62.0,38.0,0.6,1.0,6.0,9.0,0.7,12.0,18.0,18.0,Atlético de San Luis,16.0,3.0,0.0,5.0,2.0,6.0,28.6,5.0,1.0,0.2,0.0,0.0,118.0,200.0,0.6,6.0,16.0,0.4,51.0,19.0,0.4,1.0,8.0,13.0,0.6,18.0,9.0,9.0,590992,2021-02-02 03:00:00,2021
Tijuana,25.0,4.0,1.0,3.0,5.0,0.0,40.0,10.0,4.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,León,13.0,2.0,0.0,1.0,10.0,0.0,59.0,13.0,4.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590981,2021-02-13 03:06:00,2021
Mazatlán FC,9.0,4.0,0.0,0.0,11.0,0.0,66.0,24.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlético de San Luis,14.0,1.0,0.0,4.0,4.0,0.0,33.0,14.0,7.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590980,2021-02-13 03:30:00,2021
Necaxa,12.0,1.0,0.0,1.0,9.0,0.0,49.0,15.0,7.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monterrey,14.0,1.0,0.0,1.0,7.0,0.0,50.0,12.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590972,2021-02-20 01:30:00,2021
Atlético de San Luis,14.0,3.0,0.0,1.0,10.0,0.0,53.0,20.0,6.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tijuana,21.0,4.0,0.0,0.0,9.0,0.0,46.0,7.0,2.0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590991,2021-02-05 01:00:00,2021
