local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Paris Saint-Germain,10.0,2.0,0.0,7.0,6.0,4.0,44.5,10.0,3.0,0.3,0.0,0.0,325.0,396.0,0.8,0.0,7.0,0.0,49.0,25.0,0.5,1.0,11.0,17.0,0.6,13.0,25.0,25.0,Bayern Munich,21.0,2.0,0.0,3.0,7.0,3.0,55.5,13.0,5.0,0.4,0.0,0.0,405.0,477.0,0.8,4.0,30.0,0.1,51.0,33.0,0.6,2.0,9.0,22.0,0.4,9.0,11.0,11.0,596884,2021-04-13 19:00:00,2021
Chelsea,14.0,0.0,0.0,5.0,6.0,1.0,46.0,8.0,1.0,0.1,0.0,0.0,340.0,432.0,0.8,1.0,6.0,0.2,61.0,27.0,0.4,5.0,15.0,24.0,0.6,11.0,33.0,33.0,FC Porto,20.0,5.0,0.0,0.0,9.0,1.0,54.0,8.0,2.0,0.3,0.0,0.0,387.0,485.0,0.8,5.0,33.0,0.2,72.0,30.0,0.4,3.0,15.0,25.0,0.6,4.0,6.0,6.0,596885,2021-04-13 19:00:00,2021
Liverpool,10.0,2.0,0.0,1.0,11.0,2.0,56.1,15.0,4.0,0.3,0.0,0.0,508.0,612.0,0.8,10.0,37.0,0.3,38.0,21.0,0.6,3.0,13.0,15.0,0.9,10.0,6.0,6.0,Real Madrid,5.0,1.0,0.0,1.0,3.0,4.0,43.9,6.0,2.0,0.3,0.0,0.0,394.0,502.0,0.8,2.0,7.0,0.3,92.0,40.0,0.4,3.0,9.0,26.0,0.3,16.0,34.0,34.0,596887,2021-04-14 19:00:00,2021
Borussia Dortmund,7.0,1.0,0.0,3.0,2.0,3.0,38.2,10.0,3.0,0.3,0.0,0.0,372.0,441.0,0.8,3.0,8.0,0.4,38.0,20.0,0.5,4.0,7.0,13.0,0.5,6.0,19.0,19.0,Manchester City,8.0,0.0,0.0,1.0,11.0,2.0,61.8,17.0,5.0,0.3,1.0,1.0,645.0,710.0,0.9,3.0,19.0,0.2,40.0,26.0,0.7,5.0,4.0,14.0,0.3,16.0,9.0,9.0,596886,2021-04-14 19:00:00,2021
Real Madrid,11.0,5.0,0.0,2.0,4.0,4.0,50.8,9.0,1.0,0.1,0.0,0.0,506.0,582.0,0.9,4.0,12.0,0.3,51.0,30.0,0.6,2.0,11.0,21.0,0.5,11.0,13.0,13.0,Chelsea,9.0,1.0,0.0,2.0,6.0,0.0,49.2,11.0,5.0,0.5,0.0,0.0,502.0,562.0,0.9,2.0,19.0,0.1,37.0,21.0,0.6,4.0,12.0,14.0,0.9,16.0,6.0,6.0,600629,2021-04-27 19:00:00,2021
Paris Saint-Germain,9.0,2.0,1.0,1.0,6.0,4.0,40.6,10.0,4.0,0.4,0.0,0.0,396.0,457.0,0.9,6.0,14.0,0.4,34.0,15.0,0.4,4.0,7.0,15.0,0.5,6.0,14.0,14.0,Manchester City,15.0,2.0,0.0,1.0,4.0,3.0,59.4,11.0,6.0,0.5,0.0,0.0,625.0,677.0,0.9,3.0,15.0,0.2,39.0,26.0,0.7,2.0,15.0,18.0,0.8,7.0,15.0,15.0,600630,2021-04-28 19:00:00,2021
Manchester City,15.0,2.0,0.0,1.0,6.0,0.0,44.1,12.0,5.0,0.4,0.0,0.0,411.0,469.0,0.9,1.0,9.0,0.1,42.0,28.0,0.7,4.0,9.0,22.0,0.4,11.0,23.0,23.0,Paris Saint-Germain,12.0,4.0,1.0,1.0,6.0,3.0,55.9,14.0,0.0,0.0,0.0,0.0,530.0,582.0,0.9,2.0,23.0,0.1,13.0,7.0,0.5,9.0,11.0,18.0,0.6,7.0,14.0,14.0,600627,2021-05-04 19:00:00,2021
Chelsea,18.0,3.0,0.0,2.0,2.0,5.0,32.3,15.0,5.0,0.3,0.0,0.0,270.0,334.0,0.8,4.0,9.0,0.4,44.0,21.0,0.5,2.0,9.0,18.0,0.5,16.0,17.0,17.0,Real Madrid,12.0,4.0,0.0,2.0,3.0,3.0,67.7,7.0,5.0,0.7,0.0,0.0,629.0,703.0,0.9,1.0,15.0,0.1,51.0,33.0,0.6,2.0,7.0,12.0,0.6,8.0,4.0,4.0,600628,2021-05-05 19:00:00,2021
Manchester City,14.0,2.0,0.0,1.0,3.0,1.0,60.4,7.0,1.0,0.1,0.0,0.0,533.0,609.0,0.9,1.0,13.0,0.1,36.0,20.0,0.6,4.0,4.0,8.0,0.5,6.0,7.0,7.0,Chelsea,13.0,1.0,0.0,3.0,1.0,1.0,39.6,8.0,2.0,0.3,0.0,0.0,322.0,401.0,0.8,1.0,7.0,0.1,49.0,15.0,0.3,1.0,12.0,21.0,0.6,9.0,25.0,25.0,600626,2021-05-29 19:00:00,2021
Young Boys,14.0,2.0,0.0,1.0,8.0,1.0,53.9,19.0,5.0,0.3,0.0,0.0,388.0,452.0,0.9,6.0,32.0,0.2,55.0,29.0,0.5,3.0,5.0,12.0,0.4,17.0,9.0,9.0,Manchester United,3.0,1.0,1.0,1.0,1.0,3.0,46.1,2.0,2.0,1.0,0.0,0.0,324.0,410.0,0.8,1.0,4.0,0.3,57.0,30.0,0.5,0.0,12.0,21.0,0.6,9.0,24.0,24.0,618790,2021-09-14 16:45:00,2021
