local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Napoli,11.0,1.0,0.0,4.0,1.0,1.0,48.8,10.0,7.0,0.7,1.0,1.0,419.0,481.0,0.9,0.0,4.0,0.0,59.0,26.0,0.4,0.0,6.0,15.0,0.4,14.0,16.0,16.0,Fiorentina,15.0,0.0,0.0,3.0,4.0,1.0,51.2,11.0,2.0,0.2,0.0,0.0,425.0,495.0,0.9,4.0,18.0,0.2,39.0,26.0,0.7,3.0,3.0,4.0,0.8,7.0,5.0,5.0,582981,2021-01-17 11:30:00,2021
Sassuolo,18.0,3.0,0.0,3.0,5.0,1.0,61.4,16.0,4.0,0.3,1.0,1.0,463.0,524.0,0.9,4.0,19.0,0.2,27.0,18.0,0.7,3.0,6.0,9.0,0.7,7.0,13.0,13.0,Parma,11.0,2.0,0.0,3.0,3.0,3.0,38.6,11.0,2.0,0.2,0.0,0.0,251.0,324.0,0.8,8.0,16.0,0.5,72.0,40.0,0.6,3.0,9.0,18.0,0.5,23.0,15.0,15.0,582986,2021-01-17 14:00:00,2021
Crotone,14.0,1.0,0.0,0.0,4.0,4.0,40.3,9.0,3.0,0.3,0.0,0.0,238.0,321.0,0.7,3.0,9.0,0.3,52.0,21.0,0.4,3.0,13.0,20.0,0.7,5.0,44.0,44.0,Benevento,14.0,4.0,1.0,2.0,13.0,0.0,59.7,22.0,5.0,0.2,0.0,0.0,374.0,459.0,0.8,12.0,37.0,0.3,53.0,28.0,0.5,5.0,8.0,13.0,0.6,9.0,9.0,9.0,582980,2021-01-17 14:00:00,2021
Atalanta,14.0,1.0,0.0,0.0,9.0,3.0,64.0,18.0,2.0,0.1,0.0,0.0,549.0,675.0,0.8,7.0,29.0,0.2,60.0,32.0,0.5,6.0,8.0,9.0,0.9,13.0,6.0,6.0,Genoa,13.0,2.0,0.0,0.0,1.0,3.0,36.0,7.0,3.0,0.4,0.0,0.0,273.0,390.0,0.7,1.0,5.0,0.2,90.0,32.0,0.4,2.0,14.0,25.0,0.6,13.0,38.0,38.0,582982,2021-01-17 17:00:00,2021
Internazionale,8.0,2.0,0.0,0.0,3.0,4.0,48.9,17.0,5.0,0.3,0.0,0.0,458.0,520.0,0.9,2.0,11.0,0.2,49.0,30.0,0.6,4.0,5.0,7.0,0.7,6.0,21.0,21.0,Juventus,14.0,2.0,0.0,3.0,4.0,3.0,51.1,9.0,4.0,0.4,0.0,0.0,475.0,525.0,0.9,6.0,29.0,0.2,35.0,28.0,0.8,3.0,3.0,7.0,0.4,8.0,11.0,11.0,582984,2021-01-17 19:45:00,2021
Cagliari,9.0,2.0,0.0,0.0,7.0,4.0,44.5,17.0,2.0,0.1,0.0,0.0,345.0,412.0,0.8,9.0,30.0,0.3,43.0,26.0,0.6,7.0,6.0,12.0,0.5,11.0,10.0,10.0,AC Milan,13.0,1.0,1.0,4.0,4.0,2.0,55.5,10.0,6.0,0.6,1.0,1.0,473.0,542.0,0.9,3.0,10.0,0.3,57.0,37.0,0.6,2.0,8.0,16.0,0.5,17.0,21.0,21.0,582985,2021-01-18 19:45:00,2021
Udinese,20.0,3.0,0.0,0.0,2.0,3.0,34.1,6.0,1.0,0.2,0.0,0.0,209.0,288.0,0.7,1.0,12.0,0.1,63.0,21.0,0.3,1.0,9.0,15.0,0.6,17.0,21.0,21.0,Atalanta,26.0,2.0,0.0,0.0,7.0,0.0,65.9,17.0,4.0,0.2,0.0,0.0,469.0,559.0,0.8,8.0,24.0,0.3,62.0,41.0,0.7,5.0,5.0,8.0,0.6,9.0,11.0,11.0,583060,2021-01-20 14:00:00,2021
Benevento,18.0,1.0,0.0,0.0,6.0,3.0,38.2,10.0,3.0,0.3,1.0,1.0,196.0,280.0,0.7,5.0,19.0,0.3,56.0,19.0,0.3,0.0,2.0,7.0,0.3,11.0,21.0,21.0,Torino,22.0,3.0,0.0,3.0,4.0,1.0,61.8,16.0,5.0,0.3,0.0,0.0,376.0,459.0,0.8,9.0,30.0,0.3,52.0,26.0,0.5,4.0,14.0,20.0,0.7,10.0,17.0,17.0,582979,2021-01-22 19:45:00,2021
AS Roma,12.0,3.0,0.0,2.0,3.0,0.0,47.9,14.0,7.0,0.5,0.0,0.0,374.0,456.0,0.8,2.0,9.0,0.2,50.0,16.0,0.3,2.0,6.0,6.0,1.0,20.0,9.0,9.0,Spezia,13.0,1.0,0.0,4.0,1.0,3.0,52.1,6.0,3.0,0.5,0.0,0.0,410.0,503.0,0.8,1.0,6.0,0.2,79.0,45.0,0.6,0.0,7.0,13.0,0.5,11.0,8.0,8.0,582978,2021-01-23 14:00:00,2021
AC Milan,11.0,2.0,0.0,3.0,5.0,4.0,50.7,14.0,2.0,0.1,0.0,0.0,358.0,425.0,0.8,8.0,21.0,0.4,60.0,35.0,0.6,8.0,14.0,22.0,0.6,14.0,18.0,18.0,Atalanta,14.0,1.0,0.0,1.0,7.0,2.0,49.3,18.0,7.0,0.4,1.0,1.0,344.0,414.0,0.8,5.0,17.0,0.3,53.0,28.0,0.5,4.0,13.0,18.0,0.7,12.0,18.0,18.0,582970,2021-01-23 17:00:00,2021
