competicion,fecha,local,visita,goles_local,goles_visita,tiros_local,tiros_visita,tiros_arco_local,tiros_arco_visita,corners_local,corners_visita,faltas_local,faltas_visita,posesion_local,posesion_visita,elo_local,elo_visita
Amistosos 2018-19,2018-03-24,Qatar,Syria,2.0,2.0,,,,,,,,,,,1571.2,1708.3
Amistosos 2018-19,2018-03-24,Israel,Romania,1.0,2.0,,,,,,,,,,,1570.7,1723.3
Amistosos 2018-19,2018-03-24,Canada,New Zealand,1.0,0.0,,,,,,,,,,,1648.2,1707.0
Amistosos 2018-19,2018-03-24,Kosovo,Madagascar,1.0,0.0,,,,,,,,,,,1470.2,1453.5
Amistosos 2018-19,2018-03-24,Togo,Ivory Coast,2.0,2.0,,,,,,,,,,,1472.8,1688.4
Amistosos 2018-19,2018-03-24,Northern Ireland,South Korea,2.0,1.0,,,,,,,,,,,1708.1,1833.4
Amistosos 2018-19,2018-03-25,Gibraltar,Latvia,1.0,0.0,,,,,,,,,,,1316.1,1409.8
Amistosos 2018-19,2018-03-25,Thailand,Slovakia,2.0,3.0,,,,,,,,,,,1527.8,1790.0
Amistosos 2018-19,2018-03-25,Gabon,United Arab Emirates,1.0,0.0,,,,,,,,,,,1517.4,1658.2
Amistosos 2018-19,2018-03-25,Dominican Republic,St. Kitts and Nevis,2.0,1.0,,,,,,,,,,,1425.9,1432.2
Amistosos 2018-19,2018-03-25,Kuwait,Cameroon,1.0,3.0,,,,,,,,,,,1481.2,1743.3
Amistosos 2018-19,2018-03-25,Jamaica,Antigua and Barbuda,1.0,1.0,,,,,,,,,,,1662.7,1373.7
Amistosos 2018-19,2018-03-25,Barbados,Bermuda,0.0,0.0,,,,,,,,,,,1314.0,1445.7
Amistosos 2018-19,2018-03-25,Faroe Islands,Liechtenstein,3.0,0.0,,,,,,,,,,,1322.8,1190.1
Amistosos 2018-19,2018-03-25,Nicaragua,Cuba,3.0,3.0,,,,,,,,,,,1367.9,1434.5
Amistosos 2018-19,2018-03-26,Finland,Malta,5.0,0.0,,,,,,,,,,,1642.0,1239.4
Amistosos 2018-19,2018-03-26,Portugal,Netherlands,0.0,3.0,,,,,,,,,,,2050.4,1921.5
Amistosos 2018-19,2018-03-26,Albania,Norway,0.0,1.0,,,,,,,,,,,1654.1,1637.2
Amistosos 2018-19,2018-03-26,Andorra,Equatorial Guinea,0.0,0.0,,,,,,,,,,,1068.9,1441.5
Amistosos 2018-19,2018-03-26,Wales,Uruguay,0.0,1.0,15.0,11.0,7.0,2.0,9.0,1.0,9.0,12.0,50.2,49.8,1815.7,1929.4
Amistosos 2018-19,2018-03-26,China,Czech Republic,1.0,4.0,5.0,29.0,3.0,12.0,3.0,11.0,20.0,10.0,31.7,68.3,1640.2,1729.5
Amistosos 2018-19,2018-03-26,Bulgaria,Kazakhstan,2.0,1.0,,,,,,,,,,,1644.7,1396.4
Amistosos 2018-19,2018-03-27,Japan,Ukraine,1.0,2.0,,,,,,,,,,,1804.1,1772.2
Amistosos 2018-19,2018-03-27,Curaçao,Bolivia,1.0,0.0,,,,,,,,,,,1431.5,1709.7
Amistosos 2018-19,2018-03-27,Mongolia,Mauritius,0.0,2.0,,,,,,,,,,,1063.6,1224.0
Amistosos 2018-19,2018-03-27,Seychelles,Eswatini,0.0,0.0,,,,,,,,,,,1126.6,1393.7
Amistosos 2018-19,2018-03-27,Laos,Bangladesh,2.0,2.0,,,,,,,,,,,1012.2,1028.6
Amistosos 2018-19,2018-03-27,Tanzania,DR Congo,2.0,0.0,,,,,,,,,,,1406.9,1716.6
Amistosos 2018-19,2018-03-27,Uganda,Malawi,0.0,0.0,,,,,,,,,,,1595.3,1427.4
Amistosos 2018-19,2018-03-27,Georgia,Estonia,2.0,0.0,,,,,,,,,,,1549.5,1605.7
Amistosos 2018-19,2018-03-27,Kenya,Central African Republic,2.0,3.0,,,,,,,,,,,1516.8,1409.6
Amistosos 2018-19,2018-03-27,Russia,France,1.0,3.0,,,,,,,,,,,1751.0,2014.6
Amistosos 2018-19,2018-03-27,Azerbaijan,North Macedonia,1.0,1.0,,,,,,,,,,,1429.2,1558.7
Amistosos 2018-19,2018-03-27,Armenia,Lithuania,0.0,1.0,,,,,,,,,,,1520.7,1429.9
Amistosos 2018-19,2018-03-27,Iran,Algeria,2.0,1.0,,,,,,,,,,,1885.1,1679.3
Amistosos 2018-19,2018-03-27,Iraq,Syria,1.0,1.0,,,,,,,,,,,1685.0,1704.6
Amistosos 2018-19,2018-04-01,Malaysia,Bhutan,7.0,0.0,,,,,,,,,,,1226.0,860.3
Amistosos 2018-19,2018-04-01,Antigua and Barbuda,Dominica,0.0,0.0,,,,,,,,,,,1381.8,1219.7
Amistosos 2018-19,2018-04-17,Trinidad and Tobago,Panama,0.0,1.0,,,,,,,,,,,1567.9,1782.2
Amistosos 2018-19,2018-04-18,Zimbabwe,Botswana,0.0,1.0,,,,,,,,,,,1588.0,1385.7
Amistosos 2018-19,2018-04-19,Eswatini,Namibia,1.0,0.0,,,,,,,,,,,1389.3,1479.7
Amistosos 2018-19,2018-04-27,St. Kitts and Nevis,Jamaica,1.0,3.0,,,,,,,,,,,1424.8,1654.6
Amistosos 2018-19,2018-04-29,Antigua and Barbuda,Jamaica,0.0,2.0,,,,,,,,,,,1381.8,1664.3
Amistosos 2018-19,2018-05-08,Iraq,Palestine,0.0,0.0,,,,,,,,,,,1682.7,1561.0
Amistosos 2018-19,2018-05-09,Saudi Arabia,Algeria,2.0,0.0,,,,,,,,,,,1670.1,1674.6
Amistosos 2018-19,2018-05-15,Saudi Arabia,Greece,2.0,0.0,,,,,,,,,,,1685.3,1714.4
Amistosos 2018-19,2018-05-19,Iran,Uzbekistan,1.0,0.0,,,,,,,,,,,1889.7,1705.4
Amistosos 2018-19,2018-05-20,Jordan,Cyprus,3.0,0.0,,,,,,,,,,,1585.3,1458.4
Amistosos 2018-19,2018-05-25,Kenya,Eswatini,0.0,1.0,,,,,,,,,,,1503.8,1389.3
Amistosos 2018-19,2018-05-25,Kuwait,Egypt,1.0,1.0,,,,,,,,,,,1487.4,1749.6
Amistosos 2018-19,2018-05-26,China,Myanmar,1.0,0.0,,,,,,,,,,,1622.1,1280.2
Amistosos 2018-19,2018-05-27,Madagascar,Mozambique,2.0,1.0,,,,,,,,,,,1444.0,1444.6
Amistosos 2018-19,2018-05-27,Cameroon,Burkina Faso,0.0,1.0,,,,,,,,,,,1751.7,1679.9
Amistosos 2018-19,2018-05-27,Comoros,Seychelles,1.0,1.0,,,,,,,,,,,1236.1,1131.0
Amistosos 2018-19,2018-05-27,Niger,Central African Republic,3.0,3.0,,,,,,,,,,,1413.3,1422.6
Amistosos 2018-19,2018-05-28,Botswana,Angola,2.0,1.0,,,,,,,,,,,1402.7,1373.9
Amistosos 2018-19,2018-05-28,Bosnia and Herzegovina,Montenegro,0.0,0.0,,,,,,,,,,,1783.8,1636.0
Amistosos 2018-19,2018-05-28,South Korea,Honduras,2.0,0.0,,,,,,,,,,,1816.6,1716.0
Amistosos 2018-19,2018-05-28,Nigeria,DR Congo,1.0,1.0,,,,,,,,,,,1750.1,1693.5
Amistosos 2018-19,2018-05-28,Kenya,Equatorial Guinea,1.0,0.0,,,,,,,,,,,1488.3,1441.5
Amistosos 2018-19,2018-05-28,France,Republic of Ireland,2.0,0.0,,,,,,,,,,,2023.0,1766.7
Amistosos 2018-19,2018-05-28,Italy,Saudi Arabia,2.0,1.0,,,,,,,,,,,1938.0,1701.5
Amistosos 2018-19,2018-05-28,Portugal,Tunisia,2.0,2.0,,,,,,,,,,,2026.6,1760.0
Amistosos 2018-19,2018-05-28,United States,Bolivia,3.0,0.0,,,,,,,,,,,1854.1,1695.0
Amistosos 2018-19,2018-05-28,Mauritius,Malawi,1.0,0.0,,,,,,,,,,,1236.4,1433.9
Amistosos 2018-19,2018-05-28,Turkey,Iran,2.0,1.0,,,,,,,,,,,1755.7,1893.0
Amistosos 2018-19,2018-05-29,Mexico,Wales,0.0,0.0,,,,,,,,,,,1935.9,1808.9
Amistosos 2018-19,2018-05-29,Mozambique,Comoros,3.0,0.0,,,,,,,,,,,1429.5,1231.7
Amistosos 2018-19,2018-05-29,Argentina,Haiti,4.0,0.0,,,,,,,,,,,2045.3,1646.1
Amistosos 2018-19,2018-05-29,Azerbaijan,Kyrgyz Republic,3.0,0.0,,,,,,,,,,,1432.7,1437.3
Amistosos 2018-19,2018-05-29,Albania,Kosovo,0.0,3.0,,,,,,,,,,,1640.9,1503.3
Amistosos 2018-19,2018-05-29,Seychelles,Madagascar,1.0,1.0,,,,,,,,,,,1135.4,1459.0
Amistosos 2018-19,2018-05-29,Armenia,Malta,1.0,1.0,,,,,,,,,,,1505.7,1235.8
Amistosos 2018-19,2018-05-30,Malawi,Botswana,1.0,1.0,,,,,,,,,,,1411.2,1416.5
Amistosos 2018-19,2018-05-30,Central African Republic,Uganda,1.0,0.0,,,,,,,,,,,1425.1,1588.8
Amistosos 2018-19,2018-05-30,Austria,Russia,1.0,0.0,,,,,,,,,,,1758.9,1742.6
Amistosos 2018-19,2018-05-30,Estonia,Lithuania,2.0,0.0,,,,,,,,,,,1592.6,1444.9
Amistosos 2018-19,2018-05-30,Peru,Scotland,2.0,0.0,,,,,,,,,,,1997.8,1763.8
Amistosos 2018-19,2018-05-30,Japan,Ghana,0.0,2.0,,,,,,,,,,,1793.2,1724.2
Amistosos 2018-19,2018-05-30,Angola,Mauritius,1.0,0.0,,,,,,,,,,,1360.1,1259.1
Amistosos 2018-19,2018-05-30,Panama,Northern Ireland,0.0,0.0,,,,,,,,,,,1789.0,1718.8
Amistosos 2018-19,2018-05-31,Madagascar,Comoros,1.0,0.0,,,,,,,,,,,1448.1,1219.0
Amistosos 2018-19,2018-05-31,Moldova,Congo,0.0,0.0,,,,,,,,,,,1361.2,1493.7
Amistosos 2018-19,2018-05-31,Romania,Chile,3.0,2.0,,,,,,,,,,,1742.1,1940.9
Amistosos 2018-19,2018-05-31,Luxembourg,Senegal,0.0,0.0,,,,,,,,,,,1352.9,1855.4
Amistosos 2018-19,2018-05-31,Mozambique,Seychelles,2.0,1.0,,,,,,,,,,,1442.3,1146.4
Amistosos 2018-19,2018-05-31,Morocco,Ukraine,0.0,0.0,,,,,,,,,,,1798.8,1783.1
Amistosos 2018-19,2018-05-31,Slovakia,Netherlands,1.0,1.0,,,,,,,,,,,1795.7,1945.2
Amistosos 2018-19,2018-06-01,Egypt,Colombia,0.0,0.0,,,,,,,,,,,1745.3,1996.0
Amistosos 2018-19,2018-06-01,France,Italy,3.0,1.0,,,,,,,,,,,2026.4,1942.0
Amistosos 2018-19,2018-06-01,Tunisia,Turkey,2.0,2.0,,,,,,,,,,,1767.8,1766.8
Amistosos 2018-19,2018-06-01,Botswana,Mauritius,6.0,0.0,,,,,,,,,,,1416.2,1248.4
Amistosos 2018-19,2018-06-01,Georgia,Malta,1.0,0.0,,,,,,,,,,,1562.7,1242.3
Amistosos 2018-19,2018-06-01,India,Chinese Taipei,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1355.9,1200.1
Amistosos 2018-19,2018-06-01,South Korea,Bosnia and Herzegovina,1.0,3.0,,,,,,,,,,,1823.8,1777.7
Amistosos 2018-19,2018-06-01,Australia,Czech Republic,4.0,0.0,,,,,,,,,,,1807.0,1747.6
Amistosos 2018-19,2018-06-01,Algeria,Cape Verde,2.0,3.0,,,,,,,,,,,1659.4,1542.6
Amistosos 2018-19,2018-06-01,Angola,Malawi,0.0,0.0,,,,,,,,,,,1370.9,1411.4
Amistosos 2018-19,2018-06-02,Lesotho,Eswatini,1.0,0.0,,,,,,,,,,,1345.2,1404.8
Amistosos 2018-19,2018-06-02,Kenya,New Zealand,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,1494.3,1695.3
Amistosos 2018-19,2018-06-02,Latvia,Estonia,1.0,0.0,,,,,,,,,,,1400.0,1601.3
Amistosos 2018-19,2018-06-02,Austria,Germany,2.0,1.0,,,,,,,,,,,1765.7,2140.3
Amistosos 2018-19,2018-06-02,Zambia,Namibia,0.0,0.0,,,,,,,,,,,1588.1,1479.7
Amistosos 2018-19,2018-06-02,Thailand,China,0.0,2.0,,,,,,,,,,,1522.1,1623.6
Amistosos 2018-19,2018-06-02,England,Nigeria,2.0,1.0,,,,,,,,,,,1978.3,1745.9
Amistosos 2018-19,2018-06-02,Montenegro,Slovenia,0.0,2.0,,,,,,,,,,,1642.2,1641.9
Amistosos 2018-19,2018-06-02,Republic of Ireland,United States,2.0,1.0,,,,,,,,,,,1763.3,1860.5
Amistosos 2018-19,2018-06-02,Belgium,Portugal,0.0,0.0,,,,,,,,,,,1974.7,2018.8
Amistosos 2018-19,2018-06-02,Niger,Uganda,2.0,1.0,,,,,,,,,,,1410.8,1574.4
Amistosos 2018-19,2018-06-02,Sweden,Denmark,0.0,0.0,,,,,,,,,,,1832.8,1867.0
Amistosos 2018-19,2018-06-02,Greece,Iran,0.0,0.0,,,,,,,,,,,1698.1,1881.9
Amistosos 2018-19,2018-06-02,Iceland,Norway,2.0,3.0,,,,,,,,,,,1844.1,1650.5
Amistosos 2018-19,2018-06-03,Honduras,El Salvador,0.0,1.0,,,,,,,,,,,1708.9,1580.3
Amistosos 2018-19,2018-06-03,Brazil,Croatia,2.0,0.0,,,,,,,,,,,2178.8,1902.0
Amistosos 2018-19,2018-06-03,South Africa,Madagascar,0.0,0.0,,,,,,,,,,,1640.8,1454.4
Amistosos 2018-19,2018-06-03,Albania,Ukraine,1.0,4.0,,,,,,,,,,,1616.8,1783.6
Amistosos 2018-19,2018-06-03,Spain,Switzerland,1.0,1.0,,,,,,,,,,,2092.2,1920.7
Amistosos 2018-19,2018-06-03,Mexico,Scotland,1.0,0.0,,,,,,,,,,,1932.4,1760.0
Amistosos 2018-19,2018-06-03,Zimbabwe,Botswana,1.0,1.0,,,,,,,,,,,1571.0,1433.8
Amistosos 2018-19,2018-06-03,Costa Rica,Northern Ireland,3.0,0.0,,,,,,,,,,,1860.2,1723.4
Amistosos 2018-19,2018-06-03,Saudi Arabia,Peru,0.0,3.0,,,,,,,,,,,1697.5,2001.7
Amistosos 2018-19,2018-06-03,Barbados,Belize,0.0,0.0,,,,,,,,,,,1314.9,1353.8
