event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
600145,2021-05-22 17:00:00,2021,519,4411,Rapid Vienna,LASK Linz,3,0,post,STATUS_FULL_TIME
602833,2021-05-24 17:00:00,2021,6907,1382,TSV Hartberg,Austria Vienna,0,3,post,STATUS_FULL_TIME
602846,2021-05-27 19:00:00,2021,1382,13294,Austria Vienna,Wolfsberger,3,0,post,STATUS_FULL_TIME
602845,2021-05-30 17:00:00,2021,13294,1382,Wolfsberger,Austria Vienna,1,2,post,STATUS_FULL_TIME
606637,2021-07-23 20:30:00,2021,3746,2790,SK Sturm Graz,RB Salzburg,1,3,post,STATUS_FULL_TIME
606636,2021-07-24 17:00:00,2021,519,6907,Rapid Vienna,TSV Hartberg,0,2,post,STATUS_FULL_TIME
606635,2021-07-24 17:00:00,2021,4405,4411,SC Rheindorf Altach,LASK Linz,0,1,post,STATUS_FULL_TIME
606634,2021-07-24 17:00:00,2021,18794,11485,WSG Swarovski Tirol,FC Admira Wacker Modling,1,1,post,STATUS_FULL_TIME
606632,2021-07-25 17:00:00,2021,3759,1382,SV Josko Ried,Austria Vienna,2,1,post,STATUS_FULL_TIME
606633,2021-07-25 17:00:00,2021,20966,13294,SK Austria Klagenfurt,Wolfsberger,1,1,post,STATUS_FULL_TIME
606631,2021-07-31 17:00:00,2021,11485,20966,FC Admira Wacker Modling,SK Austria Klagenfurt,4,0,post,STATUS_FULL_TIME
606629,2021-07-31 17:00:00,2021,4411,519,LASK Linz,Rapid Vienna,1,1,post,STATUS_FULL_TIME
606630,2021-07-31 17:00:00,2021,6907,4405,TSV Hartberg,SC Rheindorf Altach,1,2,post,STATUS_FULL_TIME
606628,2021-08-01 17:00:00,2021,1382,18794,Austria Vienna,WSG Swarovski Tirol,1,1,post,STATUS_FULL_TIME
606627,2021-08-01 17:00:00,2021,2790,3759,RB Salzburg,SV Josko Ried,7,1,post,STATUS_FULL_TIME
606626,2021-08-01 17:00:00,2021,13294,3746,Wolfsberger,SK Sturm Graz,1,4,post,STATUS_FULL_TIME
606624,2021-08-07 17:00:00,2021,20966,6907,SK Austria Klagenfurt,TSV Hartberg,4,3,post,STATUS_FULL_TIME
606623,2021-08-07 17:00:00,2021,3746,4405,SK Sturm Graz,SC Rheindorf Altach,3,1,post,STATUS_FULL_TIME
606620,2021-08-07 17:00:00,2021,3759,11485,SV Josko Ried,FC Admira Wacker Modling,2,1,post,STATUS_FULL_TIME
606625,2021-08-08 17:00:00,2021,519,13294,Rapid Vienna,Wolfsberger,3,0,post,STATUS_FULL_TIME
606621,2021-08-08 17:00:00,2021,2790,1382,RB Salzburg,Austria Vienna,1,0,post,STATUS_FULL_TIME
606622,2021-08-08 17:00:00,2021,18794,4411,WSG Swarovski Tirol,LASK Linz,1,1,post,STATUS_FULL_TIME
606618,2021-08-14 17:00:00,2021,11485,2790,FC Admira Wacker Modling,RB Salzburg,0,1,post,STATUS_FULL_TIME
606619,2021-08-14 17:00:00,2021,6907,3759,TSV Hartberg,SV Josko Ried,1,1,post,STATUS_FULL_TIME
606616,2021-08-14 17:00:00,2021,13294,18794,Wolfsberger,WSG Swarovski Tirol,2,2,post,STATUS_FULL_TIME
606615,2021-08-15 17:00:00,2021,4411,3746,LASK Linz,SK Sturm Graz,1,3,post,STATUS_FULL_TIME
606617,2021-08-15 17:00:00,2021,4405,519,SC Rheindorf Altach,Rapid Vienna,2,1,post,STATUS_FULL_TIME
606614,2021-08-15 17:00:00,2021,1382,20966,Austria Vienna,SK Austria Klagenfurt,1,1,post,STATUS_FULL_TIME
606609,2021-08-21 17:00:00,2021,18794,4405,WSG Swarovski Tirol,SC Rheindorf Altach,0,0,post,STATUS_FULL_TIME
606611,2021-08-21 17:00:00,2021,13294,11485,Wolfsberger,FC Admira Wacker Modling,3,0,post,STATUS_FULL_TIME
606612,2021-08-21 17:00:00,2021,2790,20966,RB Salzburg,SK Austria Klagenfurt,3,1,post,STATUS_FULL_TIME
606610,2021-08-22 17:00:00,2021,4411,6907,LASK Linz,TSV Hartberg,1,1,post,STATUS_FULL_TIME
606613,2021-08-22 17:00:00,2021,519,3759,Rapid Vienna,SV Josko Ried,3,0,post,STATUS_FULL_TIME
606608,2021-08-22 17:00:00,2021,3746,1382,SK Sturm Graz,Austria Vienna,2,2,post,STATUS_FULL_TIME
606607,2021-08-28 17:00:00,2021,4405,13294,SC Rheindorf Altach,Wolfsberger,1,2,post,STATUS_FULL_TIME
606606,2021-08-28 17:00:00,2021,20966,18794,SK Austria Klagenfurt,WSG Swarovski Tirol,2,1,post,STATUS_FULL_TIME
606605,2021-08-28 17:00:00,2021,6907,2790,TSV Hartberg,RB Salzburg,0,1,post,STATUS_FULL_TIME
606602,2021-08-29 17:00:00,2021,3759,4411,SV Josko Ried,LASK Linz,1,0,post,STATUS_FULL_TIME
606604,2021-08-29 17:00:00,2021,11485,3746,FC Admira Wacker Modling,SK Sturm Graz,1,1,post,STATUS_FULL_TIME
606603,2021-08-29 17:00:00,2021,1382,519,Austria Vienna,Rapid Vienna,1,1,post,STATUS_FULL_TIME
606596,2021-09-11 17:00:00,2021,519,11485,Rapid Vienna,FC Admira Wacker Modling,1,2,post,STATUS_FULL_TIME
606601,2021-09-11 17:00:00,2021,13294,6907,Wolfsberger,TSV Hartberg,1,3,post,STATUS_FULL_TIME
606598,2021-09-11 17:00:00,2021,18794,2790,WSG Swarovski Tirol,RB Salzburg,1,3,post,STATUS_FULL_TIME
606597,2021-09-12 14:30:00,2021,4411,1382,LASK Linz,Austria Vienna,0,2,post,STATUS_FULL_TIME
606600,2021-09-12 14:30:00,2021,4405,3759,SC Rheindorf Altach,SV Josko Ried,1,1,post,STATUS_FULL_TIME
606599,2021-09-12 17:00:00,2021,3746,20966,SK Sturm Graz,SK Austria Klagenfurt,2,1,post,STATUS_FULL_TIME
606593,2021-09-18 17:00:00,2021,11485,6907,FC Admira Wacker Modling,TSV Hartberg,1,1,post,STATUS_FULL_TIME
606595,2021-09-18 17:00:00,2021,3759,13294,SV Josko Ried,Wolfsberger,3,3,post,STATUS_FULL_TIME
606592,2021-09-18 17:00:00,2021,1382,4405,Austria Vienna,SC Rheindorf Altach,0,0,post,STATUS_FULL_TIME
606590,2021-09-19 14:30:00,2021,20966,4411,SK Austria Klagenfurt,LASK Linz,1,1,post,STATUS_FULL_TIME
606594,2021-09-19 14:30:00,2021,3746,18794,SK Sturm Graz,WSG Swarovski Tirol,5,0,post,STATUS_FULL_TIME
606591,2021-09-19 17:00:00,2021,2790,519,RB Salzburg,Rapid Vienna,2,0,post,STATUS_FULL_TIME
606587,2021-09-25 17:00:00,2021,4405,20966,SC Rheindorf Altach,SK Austria Klagenfurt,0,4,post,STATUS_FULL_TIME
606586,2021-09-25 17:00:00,2021,13294,2790,Wolfsberger,RB Salzburg,0,2,post,STATUS_FULL_TIME
606589,2021-09-25 17:00:00,2021,18794,3759,WSG Swarovski Tirol,SV Josko Ried,4,2,post,STATUS_FULL_TIME
606585,2021-09-26 14:30:00,2021,6907,1382,TSV Hartberg,Austria Vienna,3,4,post,STATUS_FULL_TIME
606584,2021-09-26 14:30:00,2021,4411,11485,LASK Linz,FC Admira Wacker Modling,3,1,post,STATUS_FULL_TIME
606588,2021-09-26 17:00:00,2021,519,3746,Rapid Vienna,SK Sturm Graz,0,3,post,STATUS_FULL_TIME
606580,2021-10-02 17:00:00,2021,11485,4405,FC Admira Wacker Modling,SC Rheindorf Altach,2,0,post,STATUS_FULL_TIME
606581,2021-10-02 17:00:00,2021,3759,20966,SV Josko Ried,SK Austria Klagenfurt,1,1,post,STATUS_FULL_TIME
606578,2021-10-02 17:00:00,2021,13294,1382,Wolfsberger,Austria Vienna,1,0,post,STATUS_FULL_TIME
606583,2021-10-03 14:30:00,2021,519,18794,Rapid Vienna,WSG Swarovski Tirol,5,2,post,STATUS_FULL_TIME
606582,2021-10-03 14:30:00,2021,6907,3746,TSV Hartberg,SK Sturm Graz,3,2,post,STATUS_FULL_TIME
606579,2021-10-03 17:00:00,2021,2790,4411,RB Salzburg,LASK Linz,3,1,post,STATUS_FULL_TIME
606574,2021-10-16 17:00:00,2021,4405,2790,SC Rheindorf Altach,RB Salzburg,1,1,post,STATUS_FULL_TIME
606573,2021-10-16 17:00:00,2021,20966,519,SK Austria Klagenfurt,Rapid Vienna,1,1,post,STATUS_FULL_TIME
606572,2021-10-16 17:00:00,2021,1382,11485,Austria Vienna,FC Admira Wacker Modling,2,2,post,STATUS_FULL_TIME
606576,2021-10-17 14:30:00,2021,18794,6907,WSG Swarovski Tirol,TSV Hartberg,2,2,post,STATUS_FULL_TIME
606577,2021-10-17 14:30:00,2021,4411,13294,LASK Linz,Wolfsberger,0,1,post,STATUS_FULL_TIME
606575,2021-10-17 17:00:00,2021,3746,3759,SK Sturm Graz,SV Josko Ried,1,0,post,STATUS_FULL_TIME
606570,2021-10-23 17:00:00,2021,1382,3759,Austria Vienna,SV Josko Ried,4,1,post,STATUS_FULL_TIME
606571,2021-10-23 17:00:00,2021,11485,18794,FC Admira Wacker Modling,WSG Swarovski Tirol,0,1,post,STATUS_FULL_TIME
606568,2021-10-23 17:00:00,2021,13294,20966,Wolfsberger,SK Austria Klagenfurt,2,1,post,STATUS_FULL_TIME
606567,2021-10-24 14:30:00,2021,4411,4405,LASK Linz,SC Rheindorf Altach,0,1,post,STATUS_FULL_TIME
606566,2021-10-24 14:30:00,2021,6907,519,TSV Hartberg,Rapid Vienna,1,1,post,STATUS_FULL_TIME
606569,2021-10-24 17:00:00,2021,2790,3746,RB Salzburg,SK Sturm Graz,4,1,post,STATUS_FULL_TIME
606563,2021-10-30 17:00:00,2021,3759,2790,SV Josko Ried,RB Salzburg,2,2,post,STATUS_FULL_TIME
606560,2021-10-30 17:00:00,2021,20966,11485,SK Austria Klagenfurt,FC Admira Wacker Modling,3,3,post,STATUS_FULL_TIME
606564,2021-10-30 17:00:00,2021,4405,6907,SC Rheindorf Altach,TSV Hartberg,0,2,post,STATUS_FULL_TIME
606565,2021-10-31 14:30:00,2021,3746,13294,SK Sturm Graz,Wolfsberger,0,3,post,STATUS_FULL_TIME
606561,2021-10-31 14:30:00,2021,18794,1382,WSG Swarovski Tirol,Austria Vienna,1,1,post,STATUS_FULL_TIME
606562,2021-10-31 17:00:00,2021,519,4411,Rapid Vienna,LASK Linz,3,2,post,STATUS_FULL_TIME
606555,2021-11-06 17:00:00,2021,1382,2790,Austria Vienna,RB Salzburg,0,1,post,STATUS_FULL_TIME
606558,2021-11-06 17:00:00,2021,11485,3759,FC Admira Wacker Modling,SV Josko Ried,1,2,post,STATUS_FULL_TIME
606556,2021-11-06 17:00:00,2021,6907,20966,TSV Hartberg,SK Austria Klagenfurt,0,2,post,STATUS_FULL_TIME
606559,2021-11-07 14:30:00,2021,4411,18794,LASK Linz,WSG Swarovski Tirol,3,0,post,STATUS_FULL_TIME
606554,2021-11-07 17:00:00,2021,13294,519,Wolfsberger,Rapid Vienna,4,1,post,STATUS_FULL_TIME
606551,2021-11-20 17:00:00,2021,519,4405,Rapid Vienna,SC Rheindorf Altach,1,0,post,STATUS_FULL_TIME
606548,2021-11-20 17:00:00,2021,2790,11485,RB Salzburg,FC Admira Wacker Modling,0,0,post,STATUS_FULL_TIME
606552,2021-11-20 17:00:00,2021,3759,6907,SV Josko Ried,TSV Hartberg,1,0,post,STATUS_FULL_TIME
606549,2021-11-21 14:30:00,2021,20966,1382,SK Austria Klagenfurt,Austria Vienna,0,0,post,STATUS_FULL_TIME
606553,2021-11-21 14:30:00,2021,18794,13294,WSG Swarovski Tirol,Wolfsberger,5,1,post,STATUS_FULL_TIME
606550,2021-11-21 17:00:00,2021,3746,4411,SK Sturm Graz,LASK Linz,3,3,post,STATUS_FULL_TIME
606546,2021-11-27 17:00:00,2021,4405,18794,SC Rheindorf Altach,WSG Swarovski Tirol,0,3,post,STATUS_FULL_TIME
606544,2021-11-27 17:00:00,2021,20966,2790,SK Austria Klagenfurt,RB Salzburg,2,1,post,STATUS_FULL_TIME
606547,2021-11-27 17:00:00,2021,11485,13294,FC Admira Wacker Modling,Wolfsberger,0,1,post,STATUS_FULL_TIME
606545,2021-11-28 14:30:00,2021,1382,3746,Austria Vienna,SK Sturm Graz,2,1,post,STATUS_FULL_TIME
606542,2021-11-28 14:30:00,2021,6907,4411,TSV Hartberg,LASK Linz,2,1,post,STATUS_FULL_TIME
606543,2021-11-28 17:00:00,2021,3759,519,SV Josko Ried,Rapid Vienna,2,2,post,STATUS_FULL_TIME
606557,2021-12-01 19:00:00,2021,4405,3746,SC Rheindorf Altach,SK Sturm Graz,0,1,post,STATUS_FULL_TIME
606541,2021-12-04 17:00:00,2021,2790,6907,RB Salzburg,TSV Hartberg,2,1,post,STATUS_FULL_TIME
606536,2021-12-04 17:00:00,2021,3746,11485,SK Sturm Graz,FC Admira Wacker Modling,1,1,post,STATUS_FULL_TIME
606539,2021-12-04 17:00:00,2021,18794,20966,WSG Swarovski Tirol,SK Austria Klagenfurt,0,1,post,STATUS_FULL_TIME
606540,2021-12-05 14:30:00,2021,4411,3759,LASK Linz,SV Josko Ried,1,0,post,STATUS_FULL_TIME
606538,2021-12-05 17:00:00,2021,13294,4405,Wolfsberger,SC Rheindorf Altach,3,0,post,STATUS_FULL_TIME
606537,2021-12-05 17:00:00,2021,519,1382,Rapid Vienna,Austria Vienna,1,1,post,STATUS_FULL_TIME
606534,2021-12-11 17:00:00,2021,2790,18794,RB Salzburg,WSG Swarovski Tirol,5,0,post,STATUS_FULL_TIME
606532,2021-12-11 17:00:00,2021,3759,4405,SV Josko Ried,SC Rheindorf Altach,2,1,post,STATUS_FULL_TIME
606535,2021-12-11 17:00:00,2021,6907,13294,TSV Hartberg,Wolfsberger,2,2,post,STATUS_FULL_TIME
606531,2021-12-12 14:30:00,2021,11485,519,FC Admira Wacker Modling,Rapid Vienna,1,2,post,STATUS_FULL_TIME
606533,2021-12-12 14:30:00,2021,20966,3746,SK Austria Klagenfurt,SK Sturm Graz,0,3,post,STATUS_FULL_TIME
606530,2021-12-12 17:00:00,2021,1382,4411,Austria Vienna,LASK Linz,2,3,post,STATUS_FULL_TIME
606526,2022-02-11 19:30:00,2022,519,2790,Rapid Vienna,RB Salzburg,1,2,post,STATUS_FULL_TIME
606528,2022-02-12 17:00:00,2022,18794,3746,WSG Swarovski Tirol,SK Sturm Graz,2,2,post,STATUS_FULL_TIME
606529,2022-02-12 17:00:00,2022,13294,3759,Wolfsberger,SV Josko Ried,2,1,post,STATUS_FULL_TIME
606525,2022-02-12 17:00:00,2022,4405,1382,SC Rheindorf Altach,Austria Vienna,0,2,post,STATUS_FULL_TIME
606524,2022-02-13 14:30:00,2022,6907,11485,TSV Hartberg,FC Admira Wacker Modling,1,1,post,STATUS_FULL_TIME
606527,2022-02-13 17:00:00,2022,4411,20966,LASK Linz,SK Austria Klagenfurt,2,2,post,STATUS_FULL_TIME
606521,2022-02-19 17:00:00,2022,1382,6907,Austria Vienna,TSV Hartberg,2,0,post,STATUS_FULL_TIME
606518,2022-02-19 17:00:00,2022,11485,4411,FC Admira Wacker Modling,LASK Linz,0,3,post,STATUS_FULL_TIME
606522,2022-02-19 17:00:00,2022,3759,18794,SV Josko Ried,WSG Swarovski Tirol,3,2,post,STATUS_FULL_TIME
606523,2022-02-20 14:30:00,2022,2790,13294,RB Salzburg,Wolfsberger,2,0,post,STATUS_FULL_TIME
606520,2022-02-20 14:30:00,2022,20966,4405,SK Austria Klagenfurt,SC Rheindorf Altach,2,0,post,STATUS_FULL_TIME
606519,2022-02-20 17:00:00,2022,3746,519,SK Sturm Graz,Rapid Vienna,2,2,post,STATUS_FULL_TIME
606512,2022-02-26 17:00:00,2022,4405,11485,SC Rheindorf Altach,FC Admira Wacker Modling,0,2,post,STATUS_FULL_TIME
606517,2022-02-27 17:00:00,2022,1382,13294,Austria Vienna,Wolfsberger,1,0,post,STATUS_FULL_TIME
606515,2022-02-27 17:00:00,2022,20966,3759,SK Austria Klagenfurt,SV Josko Ried,1,1,post,STATUS_FULL_TIME
606516,2022-02-27 17:00:00,2022,3746,6907,SK Sturm Graz,TSV Hartberg,3,0,post,STATUS_FULL_TIME
606513,2022-02-27 17:00:00,2022,18794,519,WSG Swarovski Tirol,Rapid Vienna,0,2,post,STATUS_FULL_TIME
606514,2022-03-02 20:30:00,2022,4411,2790,LASK Linz,RB Salzburg,0,0,post,STATUS_FULL_TIME
606508,2022-03-05 17:00:00,2022,2790,4405,RB Salzburg,SC Rheindorf Altach,4,0,post,STATUS_FULL_TIME
606507,2022-03-06 17:00:00,2022,13294,4411,Wolfsberger,LASK Linz,1,0,post,STATUS_FULL_TIME
606511,2022-03-06 17:00:00,2022,6907,18794,TSV Hartberg,WSG Swarovski Tirol,0,1,post,STATUS_FULL_TIME
606510,2022-03-06 17:00:00,2022,3759,3746,SV Josko Ried,SK Sturm Graz,2,2,post,STATUS_FULL_TIME
606509,2022-03-06 17:00:00,2022,519,20966,Rapid Vienna,SK Austria Klagenfurt,3,0,post,STATUS_FULL_TIME
606506,2022-03-06 17:00:00,2022,11485,1382,FC Admira Wacker Modling,Austria Vienna,1,2,post,STATUS_FULL_TIME
632788,2022-03-12 17:00:00,2022,11485,3759,FC Admira Wacker Modling,SV Josko Ried,2,0,post,STATUS_FULL_TIME
632787,2022-03-12 17:00:00,2022,4405,6907,SC Rheindorf Altach,TSV Hartberg,0,0,post,STATUS_FULL_TIME
632767,2022-03-13 14:30:00,2022,1382,13294,Austria Vienna,Wolfsberger,2,1,post,STATUS_FULL_TIME
632789,2022-03-13 14:30:00,2022,4411,18794,LASK Linz,WSG Swarovski Tirol,6,0,post,STATUS_FULL_TIME
632768,2022-03-13 14:30:00,2022,20966,519,SK Austria Klagenfurt,Rapid Vienna,1,3,post,STATUS_FULL_TIME
632769,2022-03-13 17:00:00,2022,2790,3746,RB Salzburg,SK Sturm Graz,1,0,post,STATUS_FULL_TIME
632791,2022-03-19 17:00:00,2022,18794,11485,WSG Swarovski Tirol,FC Admira Wacker Modling,0,0,post,STATUS_FULL_TIME
632790,2022-03-19 17:00:00,2022,3759,4405,SV Josko Ried,SC Rheindorf Altach,1,2,post,STATUS_FULL_TIME
632771,2022-03-20 14:30:00,2022,3746,20966,SK Sturm Graz,SK Austria Klagenfurt,3,1,post,STATUS_FULL_TIME
632792,2022-03-20 14:30:00,2022,6907,4411,TSV Hartberg,LASK Linz,0,0,post,STATUS_FULL_TIME
632770,2022-03-20 14:30:00,2022,13294,2790,Wolfsberger,RB Salzburg,1,4,post,STATUS_FULL_TIME
632772,2022-03-20 17:00:00,2022,519,1382,Rapid Vienna,Austria Vienna,1,1,post,STATUS_FULL_TIME
632793,2022-04-02 17:00:00,2022,4411,3759,LASK Linz,SV Josko Ried,0,2,post,STATUS_FULL_TIME
632794,2022-04-02 17:00:00,2022,4405,11485,SC Rheindorf Altach,FC Admira Wacker Modling,2,2,post,STATUS_FULL_TIME
632795,2022-04-02 17:00:00,2022,6907,18794,TSV Hartberg,WSG Swarovski Tirol,0,1,post,STATUS_FULL_TIME
632774,2022-04-03 14:30:00,2022,13294,3746,Wolfsberger,SK Sturm Graz,0,2,post,STATUS_FULL_TIME
632773,2022-04-03 14:30:00,2022,1382,20966,Austria Vienna,SK Austria Klagenfurt,1,1,post,STATUS_FULL_TIME
632775,2022-04-03 17:00:00,2022,2790,519,RB Salzburg,Rapid Vienna,2,1,post,STATUS_FULL_TIME
632796,2022-04-09 17:00:00,2022,11485,4411,FC Admira Wacker Modling,LASK Linz,1,1,post,STATUS_FULL_TIME
632797,2022-04-09 17:00:00,2022,3759,6907,SV Josko Ried,TSV Hartberg,0,0,post,STATUS_FULL_TIME
632798,2022-04-09 17:00:00,2022,18794,4405,WSG Swarovski Tirol,SC Rheindorf Altach,0,3,post,STATUS_FULL_TIME
632777,2022-04-10 14:30:00,2022,519,13294,Rapid Vienna,Wolfsberger,2,1,post,STATUS_FULL_TIME
632776,2022-04-10 14:30:00,2022,20966,2790,SK Austria Klagenfurt,RB Salzburg,0,6,post,STATUS_FULL_TIME
632778,2022-04-10 17:00:00,2022,3746,1382,SK Sturm Graz,Austria Vienna,1,0,post,STATUS_FULL_TIME
632801,2022-04-16 17:00:00,2022,6907,11485,TSV Hartberg,FC Admira Wacker Modling,1,2,post,STATUS_FULL_TIME
632800,2022-04-16 17:00:00,2022,3759,18794,SV Josko Ried,WSG Swarovski Tirol,2,3,post,STATUS_FULL_TIME
632799,2022-04-16 17:00:00,2022,4405,4411,SC Rheindorf Altach,LASK Linz,0,0,post,STATUS_FULL_TIME
632779,2022-04-17 14:30:00,2022,1382,2790,Austria Vienna,RB Salzburg,1,2,post,STATUS_FULL_TIME
632780,2022-04-17 14:30:00,2022,3746,519,SK Sturm Graz,Rapid Vienna,2,1,post,STATUS_FULL_TIME
632781,2022-04-17 17:00:00,2022,13294,20966,Wolfsberger,SK Austria Klagenfurt,1,2,post,STATUS_FULL_TIME
632802,2022-04-23 17:00:00,2022,11485,6907,FC Admira Wacker Modling,TSV Hartberg,1,3,post,STATUS_FULL_TIME
632804,2022-04-23 17:00:00,2022,4411,4405,LASK Linz,SC Rheindorf Altach,2,1,post,STATUS_FULL_TIME
632803,2022-04-23 17:00:00,2022,18794,3759,WSG Swarovski Tirol,SV Josko Ried,2,0,post,STATUS_FULL_TIME
632782,2022-04-24 14:30:00,2022,20966,13294,SK Austria Klagenfurt,Wolfsberger,2,3,post,STATUS_FULL_TIME
632805,2022-04-24 14:30:00,2022,2790,1382,RB Salzburg,Austria Vienna,5,0,post,STATUS_FULL_TIME
632806,2022-04-24 17:00:00,2022,519,3746,Rapid Vienna,SK Sturm Graz,1,1,post,STATUS_FULL_TIME
632808,2022-04-26 18:30:00,2022,3759,11485,SV Josko Ried,FC Admira Wacker Modling,1,1,post,STATUS_FULL_TIME
632807,2022-04-26 18:30:00,2022,6907,4405,TSV Hartberg,SC Rheindorf Altach,4,0,post,STATUS_FULL_TIME
