local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600199,2021-04-04 15:00:00,2021
SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600198,2021-04-10 15:00:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600197,2021-04-10 15:00:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600196,2021-04-10 15:00:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600195,2021-04-11 12:30:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600194,2021-04-11 12:30:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600193,2021-04-11 15:00:00,2021
St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600190,2021-04-17 15:00:00,2021
SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600191,2021-04-17 15:00:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600192,2021-04-17 15:00:00,2021
